FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
041/01/01,041,KEPALA BATAS,01,PENAGA,01,KUALA MUDA,2255
041/01/02,041,KEPALA BATAS,01,PENAGA,02,PULAU MERTAJAM,3018
041/01/03,041,KEPALA BATAS,01,PENAGA,03,PASIR GEBU,1329
041/01/04,041,KEPALA BATAS,01,PENAGA,04,PENAGA,3453
041/01/05,041,KEPALA BATAS,01,PENAGA,05,KOTA AUR,2142
041/01/06,041,KEPALA BATAS,01,PENAGA,06,PERMATANG JANGGUS,1664
041/01/07,041,KEPALA BATAS,01,PENAGA,07,GUAR KEPAH,914
041/01/08,041,KEPALA BATAS,01,PENAGA,08,PERMATANG TIGA RINGGIT,1128
041/01/09,041,KEPALA BATAS,01,PENAGA,09,LAHAR KEPAR,1230
041/02/01,041,KEPALA BATAS,02,BERTAM,01,PADANG BENGGALI,752
041/02/02,041,KEPALA BATAS,02,BERTAM,02,PERMATANG BERAH,1421
041/02/03,041,KEPALA BATAS,02,BERTAM,03,PERMATANG RAMBAI,1804
041/02/04,041,KEPALA BATAS,02,BERTAM,04,PERMATANG SINTOK,979
041/02/05,041,KEPALA BATAS,02,BERTAM,05,PERMATANG PAK ELONG,588
041/02/06,041,KEPALA BATAS,02,BERTAM,06,PERMATANG BERTAM,2182
041/02/07,041,KEPALA BATAS,02,BERTAM,07,KEPALA BATAS,886
041/02/08,041,KEPALA BATAS,02,BERTAM,08,JALAN KEDAH,3527
041/02/09,041,KEPALA BATAS,02,BERTAM,09,PONGSU SERIBU,4482
041/03/01,041,KEPALA BATAS,03,PINANG TUNGGAL,01,BUMBUNG LIMA,1674
041/03/02,041,KEPALA BATAS,03,PINANG TUNGGAL,02,PAYA KELADI,3626
041/03/03,041,KEPALA BATAS,03,PINANG TUNGGAL,03,BERTAM INDAH,1614
041/03/04,041,KEPALA BATAS,03,PINANG TUNGGAL,04,LADANG MALAKOFF,263
041/03/05,041,KEPALA BATAS,03,PINANG TUNGGAL,05,KAMPONG TO`BEDU,2115
041/03/06,041,KEPALA BATAS,03,PINANG TUNGGAL,06,PERMATANG LANGSAT,1273
041/03/07,041,KEPALA BATAS,03,PINANG TUNGGAL,07,PINANG TUNGGAL,2687
041/03/08,041,KEPALA BATAS,03,PINANG TUNGGAL,08,KAMPONG BAHARU,874
041/03/09,041,KEPALA BATAS,03,PINANG TUNGGAL,09,KAMPONG SELAMAT UTARA,2432
041/03/10,041,KEPALA BATAS,03,PINANG TUNGGAL,10,KUBANG MENERONG,995
041/03/11,041,KEPALA BATAS,03,PINANG TUNGGAL,11,KAMPONG SELAMAT SELATAN,1887
042/04/01,042,TASEK GELUGOR,04,PERMATANG BERANGAN,01,ARA RENDANG,2556
042/04/02,042,TASEK GELUGOR,04,PERMATANG BERANGAN,02,POKOK MACHANG,1998
